"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
146624,101618,93671.8,184.86,103.68,2285.01,3.86265
156685,105110,86690,127.92,101.52,120.9,3.86686
103902,79675,68030,84.24,89.64,1620.99,3.90475
81419,58783,80549,88.14,85.32,69.75,3.92159
62401.3,46975,105791,115.44,123.66,8456.49,3.92264
130428,92091,137243,185.64,96.66,1782.81,3.95737
88559,66418,66189.2,80.34,120.96,110.67,3.96053
121989,90414,115301,127.14,146.88,122.76,3.96474
90731.5,70972,88515.2,109.2,114.48,132.06,3.96685
171876,102874,161788,159.12,105.84,94.86,4.00263
75618.8,56895,93544.6,74.1,112.86,1839.54,4.03
140656,87644,128994,158.34,215.46,297.6,4.03
105226,78667,76950.9,95.94,158.76,2489.61,4.03315
111934,74592,142306,148.98,164.16,3561.9,4.03736
79180.1,60882,69558.8,65.52,55.08,394.32,4.06157
133205,90603,108102,147.42,139.86,2348.25,4.06262
64686.8,49806,46347.6,66.3,37.26,1929.75,4.10262
57722.9,41232,79401.7,57.72,116.64,64.17,4.10472
109578,82593,89297.5,141.96,152.82,1726.08,4.13735
54109.5,36917,93808.3,84.24,129.06,184.14,4.13945
104731,79066,83026.3,108.42,124.74,2982.51,4.14472
161707,109027,121441,620.88,1866.78,1244.34,4.14472
106513,78055,94449.4,141.18,139.86,3744.18,4.16366
96436.9,64482,79561.6,91.26,99.36,132.06,4.16682
105632,81899,83878.9,104.52,90.72,80.91,4.19208
90082.1,68026,72958.9,99.06,95.58,1788.39,4.20681
113591,79384,74956.4,78,90.72,1296.42,4.22681
104082,75846,82815.7,109.2,88.02,2268.27,4.22892
94957.2,66013,128522,120.12,128.52,132.99,4.24786
146486,100388,98549.9,117.78,83.7,65.1,4.27102
134711,101707,94437.7,119.34,134.46,4617.45,4.27102
82668,64328,77799.5,96.72,88.02,1432.2,4.29101
71632.5,47810,108610,117.78,124.74,125.55,4.34574
128478,98740,93329.3,124.8,154.98,140.43,4.35101
85147.8,61443,77376,74.88,82.62,116.25,4.36469
93963.4,70691,85979.4,109.98,105.3,98.58,4.371
80795.7,55802,99857.9,117,109.08,2936.01,4.37206
93254,67839,69376.3,97.5,106.92,1784.67,4.37206
113246,86863,83471.7,139.62,131.76,2224.56,4.38258
62586.2,37720,101642,91.26,64.26,29.76,4.391
110737,77071,78513.2,123.24,191.16,2289.66,4.40363
83263.6,63737,65605,65.52,72.36,87.42,4.40889
92290.2,62394,130467,123.24,88.56,1999.5,4.41626
122546,85029,88194.6,112.32,137.7,2539.83,4.42047
98156.7,71967,80548.3,115.44,138.24,2686.77,4.42047
118522,83700,107747,152.1,97.2,1289.91,4.42258
133479,97394,121567,131.04,198.18,2280.36,4.44047
93137.8,72100,64038,84.24,84.24,106.95,4.44152
123363,91355,80268.2,121.68,123.12,1515.9,4.4552
113831,83995,91134.4,138.84,98.82,1195.05,4.46468
91094.1,68886,76454,106.08,83.7,1559.61,4.48994
60314.1,42123,99079.5,101.4,63.72,72.54,4.50151
71323.6,56444,53105.5,58.5,50.22,2261.76,4.51309
150219,110724,105919,145.08,139.86,725.4,4.52572
131221,93427,92625,142.74,126.9,1680.51,4.53309
93823.6,67007,97166.2,113.1,113.94,1879.53,4.54993
125942,90980,119682,106.86,153.36,159.96,4.55729
108285,74871,107610,109.98,137.16,3176.88,4.55729
54944.5,39486,82197.2,74.1,118.8,2081.34,4.5594
105960,81087,104554,108.42,201.96,4644.42,4.6036
115611,83111,110419,109.98,135,3457.74,4.61308
96364.2,72743,78245.7,116.22,63.18,1245.27,4.61939
120543,92207,73597.7,114.66,82.08,1215.51,4.62255
118329,76729,113755,119.34,105.3,47.43,4.63202
125832,87459,90830.2,132.6,101.52,1581.93,4.65097
104956,72311,89443.4,78,137.7,92.07,4.65939
98848.8,73659,95387.8,139.62,93.42,3429.84,4.66991
112438,83335,127276,120.12,118.26,4610.94,4.67202
188341,126709,92518.9,202.02,125.82,1573.56,4.67728
75096.6,54606,114070,96.72,95.58,161.82,4.68254
140680,93499,106416,163.02,127.98,2453.34,4.68991
162622,111785,105092,181.74,93.96,2006.94,4.69201
107497,79160,107787,131.04,142.56,1584.72,4.69412
113653,81431,93302.8,106.08,141.48,90.21,4.7078
146856,106485,119331,165.36,123.12,4904.82,4.70991
182048,115348,114385,182.52,104.22,2056.23,4.70991
62029.2,43938,106126,98.28,50.76,380.37,4.72254
146176,108003,86787.5,158.34,146.88,2271.06,4.74043
137390,100568,113575,115.44,139.32,66.03,4.74359
76994.2,58824,117916,109.2,154.98,4501.2,4.74464
133182,98423,110421,126.36,132.84,3903.21,4.77727
111586,81659,84986.5,111.54,111.24,1900.92,4.79305
155652,107138,104114,159.9,92.88,1245.27,4.82884
104211,80193,96949.3,112.32,204.66,118.11,4.8341
165025,119835,103623,144.3,127.44,3157.35,4.84673
92312.3,55925,120506,165.36,105.3,2331.51,4.84884
70712.9,52680,85030.9,95.94,190.62,4147.8,4.87725
115251,92120,90454.3,149.76,56.7,1133.67,4.88146
115284,69836,114899,118.56,132.84,3751.62,4.90988
114503,81835,96717.7,143.52,77.76,1914.87,4.93198
