"FSC-A","FSC-H","FSC-W","SSC-A","BL1-A","RL1-A","RL2-A","VL1-A","YL2-A","Time"
164313,97425,96,403125,54,69,6,3511,10,0.584895
298223,211063,92,229617,2,15,30,2897,-54,0.584895
521041,256649,115,451451,223,-14,87,247,212,0.586891
382417,244770,110,291737,101,69,40,2761,-54,0.58789
421579,262441,103,382825,59,39,67,164,59,0.59288
436869,251390,104,424462,107,40,13,5975,292,0.595874
395315,235383,100,384351,49,77,80,7580,119,0.602861
434023,259483,112,298570,11,-34,33,9188,96,0.604858
504280,271796,119,350270,103,103,47,24505,78,0.606854
290664,215880,101,214744,-1,1,59,1937,89,0.60885
385655,247523,100,374367,-10,85,1,5282,397,0.60885
393265,260507,103,217146,82,53,17,5405,41,0.609848
354547,237737,97,231129,-36,-25,11,5913,72,0.609848
325681,238890,95,155101,133,-23,-15,4180,65,0.617833
344922,236973,98,288058,36,44,-43,191,-23,0.619829
278494,165116,101,356502,28,7,31,3160,26,0.619829
389769,262180,98,302693,233,32,-17,2998,16,0.622824
358548,234015,105,341425,-47,-3,28,4415,77,0.62981
303744,216154,93,197099,77,35,46,-38,5,0.632805
281365,191327,92,199629,103,-1,15,2615,-53,0.632805
390962,265924,99,217754,120,22,34,4269,-37,0.634801
287075,196164,103,259596,35,-9,4,3335,55,0.635799
335857,228686,106,224433,102,11,32,4632,99,0.637795
303862,217953,99,137608,97,21,-25,1756,65,0.637795
262473,184729,93,276205,95,5,29,1668,621,0.641788
315550,221430,104,174609,-31,-84,4,4504,28,0.641788
390247,255543,109,316416,-58,-29,10,5947,11,0.647776
422767,250794,111,364147,57,99,43,7482,21,0.648775
289760,205327,95,179238,6,67,3,1147,37,0.650771
352553,245277,101,232933,-5,-23,-10,4602,7,0.651769
364840,217006,104,316845,64,19,11,161,62,0.652767
313753,206383,95,310178,72,37,4,3237,-89,0.652767
370768,242681,100,255512,96,26,52,228,7416,0.66175
455904,249423,114,603703,63,98,53,9384,-46,0.664744
