"FSC-A","FSC-H","SSC-A","B515-A","G610-A","V450-A","Time"
125542,87562,124918,130.26,30001.3,391.53,1.66307
118596,93446,72706.1,115.44,4088.88,172.98,1.66769
91289.2,67421,72770.1,67.86,1480.68,228.78,1.66885
50220.3,42710,108028,10.92,29.16,0.93,1.67001
47396.8,43886,97415.8,48.36,151.74,5.58,1.68272
105751,76516,93101.6,132.6,3567.78,241.8,1.68965
171983,102474,170023,130.26,11796.3,291.09,1.69081
181999,128510,124460,197.34,12204.5,479.88,1.6989
120760,91543,91040.8,101.4,172.8,336.66,1.70121
115443,88079,64994.3,95.16,10322.6,271.56,1.7093
109745,90023,116607,92.04,316.98,154.38,1.71739
42759.5,36885,77592.8,30.42,53.46,5.58,1.71855
72330,56870,91589.2,84.24,2575.8,129.27,1.72201
149635,110468,112711,146.64,8139.96,438.96,1.72432
105186,75186,94211.5,107.64,6665.76,336.66,1.73241
47932.5,42198,83999,28.08,73.44,0,1.73935
85607.6,62544,137315,144.3,8863.02,276.21,1.77864
149879,108564,160614,992.16,18593.8,383.16,1.78327
127632,101512,66912.3,95.16,1623.24,168.33,1.79945
90744.1,72884,60630.2,546.78,7134.48,211.11,1.8006
104308,81289,77819.8,799.5,10560.2,323.64,1.8006
139960,105120,128637,120.9,1432.62,385.02,1.80176
122570,84099,89796.7,138.84,8628.12,222.27,1.80522
154127,101391,118912,185.64,11895.7,358.98,1.80869
111704,88443,82073.2,112.32,37851.8,266.91,1.811
51126.4,46167,106987,24.18,62.1,-8.37,1.81678
131674,86614,115717,145.08,266.22,501.27,1.82603
148197,107631,117710,136.5,5783.94,416.64,1.82834
160912,114999,123612,148.98,202.5,338.52,1.83296
99488.7,80434,61086.5,94.38,955.8,203.67,1.83296
107739,86338,69168.1,527.28,12487,290.16,1.84452
104424,87277,75170.9,177.06,3073.68,212.97,1.85492
118432,94146,79763.6,758.94,10161.7,211.11,1.85492
110110,83339,85794.5,77.22,271.62,309.69,1.86532
108871,76675,118460,159.9,942.3,102.3,1.86879
135971,94271,91933.9,1122.42,29312.3,386.88,1.87572
82959.5,62522,67580.8,71.76,947.7,172.98,1.88844
105199,69791,121825,96.72,8044.38,183.21,1.89421
142242,105544,90806,131.04,294.84,325.5,1.90346
147749,100495,110509,194.22,2101.14,401.76,1.90346
91374.6,69571,62759.6,88.14,117.72,291.09,1.91039
96241.8,76437,61251.8,103.74,3856.14,184.14,1.92195
119327,88174,72559.5,456.3,7755.48,283.65,1.92311
111079,76935,83265,87.36,8235.54,246.45,1.9624
146524,105734,94930.7,127.14,11563,213.9,1.9624
79274.9,52862,116977,148.2,755.46,180.42,1.96587
147140,96737,141380,143.52,5476.68,411.99,2.00747
127886,93075,104860,102.18,20209.5,300.39,2.02828
131144,94317,84176.8,103.74,4837.86,269.7,2.02943
85421.9,67755,75560.9,71.76,1919.16,210.18,2.03868
66262,48818,92515.8,110.76,12120.3,97.65,2.04561
149064,114375,111987,151.32,197.64,345.96,2.05024
44888.6,41482,74819.9,12.48,25.38,16.74,2.05601
137078,107559,102903,144.3,706.32,364.56,2.05601
94824.5,75952,81256.5,70.98,13744.1,142.29,2.05833
43711.5,38719,74362.9,23.4,91.26,7.44,2.06295
131326,92409,92612.5,133.38,2966.76,205.53,2.06757
95823.1,70112,87633.8,152.88,4944.24,31.62,2.06988
110776,78517,75172.5,88.14,5788.26,212.97,2.08028
45537.2,42038,103114,23.4,43.2,4.65,2.08375
127432,99776,86079.2,92.82,3780,242.73,2.08837
101837,78243,85349.2,73.32,99.9,215.76,2.09878
123419,91086,103946,159.9,8651.34,432.45,2.09878
100379,78223,72586,244.92,4344.84,159.03,2.09993
102334,72653,116843,126.36,1328.94,277.14,2.10109
43176.7,39590,92006.5,24.96,56.7,8.37,2.10571
98348.7,79786,60830.6,89.7,706.32,169.26,2.11033
170777,118354,151216,176.28,19281.8,457.56,2.11149
125573,88543,147932,169.26,11752.6,326.43,2.11611
56693.6,47503,122643,27.3,52.92,-9.3,2.12304
99813.3,79860,73585.2,70.98,13144.7,209.25,2.12651
94299.1,74260,75686.5,447.72,9130.86,320.85,2.12651
104192,83699,67186.1,117,7441.74,399.9,2.1346
77515.6,62075,63967,99.84,5942.16,183.21,2.13691
130698,93223,106429,140.4,1607.04,203.67,2.14038
100911,75416,93210.8,107.64,132.84,232.5,2.14847
44426.4,39966,63462.4,21.06,54,2.79,2.15887
130291,101899,83587.9,381.42,4655.34,216.69,2.17852
125083,100378,84137.8,758.16,10567.3,274.35,2.17968
93360.6,71218,84027.8,90.48,3619.62,210.18,2.17968
135852,100265,70651.6,81.9,12410.8,193.44,2.1843
121369,93537,90504.2,96.72,43735.1,215.76,2.21435
129512,93990,107174,129.48,170.1,290.16,2.21781
186386,126890,116147,214.5,18114.3,419.43,2.21897
72209.2,54120,47181.4,62.4,243,107.88,2.21897
100347,77292,67019.2,92.04,116.64,150.66,2.22244
48698.8,44723,94759.9,18.72,27,-8.37,2.22937
95153.1,67090,86027,97.5,2337.12,235.29,2.23977
75639.3,63019,67806.2,51.48,26706.8,146.01,2.25711
114310,89357,99261.2,120.12,18738.5,234.36,2.27098
127700,98479,109829,131.82,1924.02,275.28,2.27213
170388,121142,119533,186.42,21376.4,335.73,2.286
71397,53078,88155.6,92.82,3418.74,222.27,2.29525
97937.1,76723,71033,524.16,4512.24,246.45,2.30334
110111,80134,110690,85.02,1035.72,175.77,2.31143
72515.7,57055,124511,34.32,49.68,7.44,2.31374
144227,99886,136900,145.08,21542.2,442.68,2.32876
70359.8,50594,86425.6,61.62,107.46,137.64,2.33223
109266,90144,74884.7,215.28,15217.7,199.02,2.3357
128429,101077,83052.1,130.26,429.84,281.79,2.35997
94273.1,74337,78333.1,75.66,4006.8,295.74,2.36921
57664.5,43831,79401.7,70.98,1004.94,181.35,2.37152
113051,84396,76715.3,107.64,8094.6,304.11,2.37961
42988.6,38627,100334,21.84,78.3,1.86,2.38077
120421,89763,116505,196.56,3332.88,344.1,2.39117
123759,97768,76054.7,120.12,1629.72,201.81,2.39233
50425.7,40632,82701.8,34.32,90.18,13.95,2.39464
111364,86871,64922.5,95.16,158.22,230.64,2.40851
117783,87825,84294.6,929.76,12931.4,328.29,2.41428
123672,92707,94507.1,158.34,1708.56,394.32,2.42815
49157.8,41191,82087.2,-10.14,12.42,-9.3,2.4374
98633.9,79532,76316,95.94,8819.82,290.16,2.44318
134604,92380,125792,146.64,3801.06,352.47,2.46282
53266.5,46086,44807.9,17.94,32.4,21.39,2.4686
109335,82862,73312.2,415.74,5193.18,332.01,2.50559
135717,97905,107330,115.44,2775.06,345.96,2.51136
106332,82551,91685.1,85.02,1839.24,267.84,2.51136
126091,94687,85330.4,102.96,1907.82,255.75,2.51945
115302,83666,105751,97.5,158.22,238.08,2.52986
98190.7,72987,86161.9,93.6,136.08,153.45,2.53563
91467.8,74431,72731.9,78,103.14,215.76,2.54141
