"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
18489.8,11933,101546,14468.1,11120,85268,21.32,1095.64,2435.52,65874.6,31.96,5750.1,-2.24,0,0.275109
17677.8,12241,94643.6,12359.9,9709,83429.4,4.92,1495.97,3467.95,68415.3,52.64,5461.2,17.36,18650.9,0.276175
27206.2,15909,112074,22615.6,15477,95763.8,3.28,1573.8,3618.45,66499.9,88.36,6763.5,31.92,36700.2,0.276175
27254.5,16703,106936,13899.8,10274,88664.5,-7.38,1394.49,3199.63,64579.9,50.76,5123.7,-4.48,0,0.276175
55423.2,29915,121418,40637.6,25055,106295,-9.02,6836.57,16528.8,77534.1,184.24,17505.9,22.96,30094.1,0.278308
27090,17734,100111,26390.1,20406,84754.4,20.5,1205.29,2535.28,63055.8,88.36,6928.2,10.64,12022.5,0.278308
33796,19961,110959,18040.8,11645,101531,6.56,1785.79,3822.7,70471,117.5,13024.8,1.68,3440.64,0.278308
22067.5,15109,95718.8,12475.5,9357,87377.7,10.66,870.75,1954.78,71849.9,69.56,7407,7.28,8370.21,0.279374
24907.4,16158,101023,16842.8,12899,85573.3,23.78,773.57,1773.32,78207.5,84.6,4176,8.96,11513.8,0.280441
22270.5,14897,97974,13124.1,10361,83013.3,12.3,789.91,1957.36,64042.7,57.34,3387.6,7.28,7821.35,0.280441
41148.8,27859,96799.2,17101.9,12491,89727.9,20.5,1267.21,2957.97,70982.6,85.54,4662.9,8.4,6968.38,0.281507
21468.3,14914,94337.3,11356.2,8446,88117.3,13.94,1239.69,3215.54,73324.2,109.98,7862.4,14.56,20743.6,0.281507
27314.7,17406,102844,20367.2,14695,90832.4,9.84,1347.62,2950.66,62158.3,97.76,7903.8,18.48,23747.2,0.281507
28191.8,19026,97108,12190.9,9606,83171.5,-6.56,1255.6,3250.8,58400.3,82.72,3678.3,19.6,27924,0.282573
15208.9,10348,96321.1,14999.4,11557,85057,-8.2,1354.5,3365.18,66129.1,80.84,2995.2,21.84,29210.3,0.282573
15239.7,8224,121443,21642.3,14364,98743.2,-4.1,208.12,555.56,63875.8,80.84,8898.3,6.16,9175.04,0.282573
14963.9,7239,135471,27581.5,18075,100005,-18.86,1347.19,2688.79,76052,83.66,5394.6,6.72,7464.44,0.282573
12900.3,7952,106317,21805.4,14900,95908.8,22.96,1313.22,3094.71,75395.9,61.1,8099.1,-15.68,0,0.28364
32305.7,16282,130032,25772.6,11683,144572,12.3,2300.5,5700.08,92214.4,65.8,8676.9,4.48,5338.2,0.284706
29110.2,11967,159419,23996.5,10879,144557,68.88,3120.94,7025.77,85156.4,117.5,11748.6,17.36,33461.9,0.285772
18722.9,11814,103862,12813.3,9690,86659.8,24.6,1007.49,2200.74,64444.9,47,7282.8,6.72,10485.8,0.285772
20438.6,15089,88770.9,12621.4,9473,87317.5,12.3,1139.93,2733.51,66571.3,23.5,5226.3,1.12,1631.12,0.285772
33535.6,18880,116408,23825.9,16824,92811.2,14.76,2010.25,4424.7,69306.2,97.76,7548.3,1.12,1223.34,0.286839
37720.2,17351,142472,25970.2,10879,156447,-4.1,1137.78,2651.38,64715.4,125.02,11656.8,0,0,0.287905
25439.4,16246,102622,22169.5,16110,90186.3,19.68,1094.78,2312.11,59656.1,101.52,9094.5,12.88,14553.5,0.288971
44254.7,27115,106962,26030.1,17974,94909.7,29.52,2149.57,4854.27,66249.4,126.9,5726.7,17.92,21748.2,0.288971
49186.2,27483,117289,38786,25254,100653,43.46,2819.51,6253.49,73525.1,137.24,5481.9,9.52,18350.1,0.290038
31167.5,21077,96911,17343.8,13349,85148.3,-3.28,1655.93,3661.88,63707.2,83.66,4131.9,3.36,5370.75,0.290038
21020.3,13154,104728,12901.1,10190,82971.9,24.6,703.91,1632.71,65806.5,51.7,1970.1,16.24,17166.2,0.291104
15744.4,11490,89802,11998.2,9242,85080.8,52.48,32.25,3.87,4372.83,48.88,5423.4,-5.6,0,0.291104
12317.2,8299,97267.1,19584.9,14335,89537.1,20.5,727.13,1845.99,65928.5,6.58,1437.3,-15.12,0,0.29217
12481.7,8171,100110,18245,13814,86557.4,17.22,25.37,50.74,44337.3,12.22,3417.3,-4.48,0,0.29217
11979.8,6689,117373,23238.8,16933,89941.4,17.22,49.88,33.11,21918.2,67.68,6440.4,-8.4,0,0.293237
44342.9,29591,98207.4,19024.8,15143,82335.8,-14.76,825.6,1818.04,53453.1,78.96,4736.7,-3.92,0,0.294303
18393.2,10410,115794,20012.9,13274,98807.2,11.48,1633.57,3698,70904.7,69.56,5063.4,-17.36,0,0.295369
19005.7,12870,96779.9,9206.96,7134,84579.1,-1.64,7.74,4.73,4558.61,50.76,4667.4,-12.32,0,0.296435
24313.1,16601,95981.2,12608.3,10004,82596.9,18.04,2140.11,4796.65,61457.1,4.7,147.6,11.76,24084.5,0.296435
18181.1,11666,102136,10302.5,7838,86142.3,39.36,1027.27,2177.95,71295.8,72.38,5774.4,15.12,21541.4,0.296435
23773.4,15060,103454,22485.2,16176,91097.4,29.52,1532.09,3449.03,63942.2,84.6,6381.9,15.68,18350.1,0.297502
17476.2,12077,94834.8,12095.8,9401,84322.1,-2.46,922.78,1903.18,63668.6,98.7,9974.7,16.24,15651.5,0.297502
18395.3,11583,104080,10382,8066,84353.6,-16.4,823.02,1781.49,82161.7,66.74,4159.8,6.16,10623.7,0.298568
51743.3,27190,124717,35861.9,16518,142284,3.28,3370.34,7803.64,86461.4,150.4,12053.7,8.96,10124.2,0.299634
36545.6,16276,147152,29443.7,13744,140398,-6.56,1964.24,4822.45,93448.9,161.68,16074,5.04,5898.24,0.299634
35735.7,22157,105699,20931.3,14432,95049.5,13.94,3369.48,7220.56,66321.9,71.44,5480.1,-1.12,0,0.300701
29527.4,19377,99866.2,17059.3,13369,83626.1,27.06,1321.82,3058.59,61505.9,76.14,5570.1,2.24,2406.57,0.300701
15527.4,10351,98309.7,12109.8,9711,81724.4,2.46,934.39,2122.91,71900.3,47,5814,-18.48,0,0.301767
17786.3,9807,118858,23627.5,16155,95849.6,18.04,2212.78,5308.78,75290.2,74.26,5058.9,3.36,3145.73,0.301767
24461.5,15547,103114,11070,8351,86873.9,-0.82,1198.84,2815.21,67606.3,64.86,4114.8,3.36,4404.02,0.301767
23519.3,16327,94405.6,9928.56,8219,79167.5,9.02,783.03,1730.75,58137.6,14.1,2061.9,-3.92,0,0.301767
29260,18882,101556,17659.5,12126,95442.4,27.88,22.36,18.92,19374.1,84.6,7164.9,-19.04,0,0.302833
29913.1,20498,95637.9,14160.6,11010,84289.5,25.42,1467.59,3543.2,66573.2,19.74,5281.2,-15.68,0,0.302833
21785.4,12591,113393,39401,25698,100482,22.96,1464.15,3452.04,71797.2,79.9,5310,6.72,8155.59,0.3039
13324.5,7787,112140,26334.3,18095,95376.9,6.56,1257.32,2961.84,64984,70.5,5862.6,-23.52,0,0.304966
19874.4,13239,98382.7,10332,7203,94005,-18.86,2066.15,4859.43,70504.2,77.08,11686.5,-1.12,0,0.304966
44830.1,21110,139175,27271.6,10982,162745,-8.2,2568.82,5765.44,83372.4,94,6377.4,-8.96,0,0.304966
