"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","R710-W","UV440-A","V440-A","YG610-A","YG610-W","Time"
30133.6,18757,105285,14206.5,10637,87528.2,146.78,2943.78,3425.81,131372,102.46,4485.6,27858.3,76966.5,0.355421
49959,28349,115493,24290,16992,93683.6,24.6,4746.34,11580.3,62499.3,79.9,5193,155.68,53138.8,0.356511
41716.5,27129,100775,22584.4,17113,86489.4,8.2,2093.24,5199.99,61613.9,94.94,5305.5,6.72,8469.27,0.356511
37171.4,24282,100324,14704.2,10743,89700.9,63960,21.5,53.75,23963,61.1,5045.4,3.36,4003.65,0.358692
37720.2,22798,108432,24621.3,17625,91550.8,28.7,62.35,45.15,29589.5,89.3,3182.4,19.04,29709.7,0.358692
43178.8,28887,97959.8,24524.6,18275,87947.6,20.5,1802.99,4588.96,64055.8,98.7,4157.1,21.84,33286.2,0.359782
16529.1,10707,101172,18437.7,13859,87187.6,-12.3,1614.65,3975.78,64319.1,48.88,3339,8.96,12493.7,0.359782
28904.4,19057,99400.7,15857.2,12453,83451,20.5,21.5,-12.47,0,82.72,3481.2,-6.16,0,0.361962
41031.9,25679,104719,21068.3,16031,86128.7,24.6,2491.85,5661.81,59779.7,77.08,5505.3,14.56,28064.8,0.364143
27840.4,18648,97841.5,16847.7,13560,81425.7,13.12,1439.21,3054.72,66686.9,68.62,3423.6,851.76,66691.7,0.364143
48996.5,29238,109824,24659.9,17934,90114.2,18.86,2157.31,5134.63,62431,85.54,8100,-0.56,0,0.365233
15502.2,9755,104147,13215.1,9862,87818.5,1.64,5.59,44.72,24837,33.84,4663.8,49.28,48933.5,0.367414
13281.8,8300,104872,20873.1,15016,91098.8,-3.28,1324.83,2834.56,73078.6,88.36,2414.7,26.32,52269.9,0.367414
23262.4,15030,101432,14951.9,11902,82329.6,43.46,694.88,1430.18,57186.3,38.54,3782.7,25.2,39321.6,0.371775
33485.9,20686,106088,20035.1,14711,89254.1,1.64,2160.32,4820.73,64966.3,69.56,5631.3,16.24,30408.7,0.375045
24668.7,17632,91690.6,13046.2,10420,82053.3,9.02,1894.15,2400.26,102813,60.16,4107.6,21626.1,71507.9,0.379406
28610.4,20122,93182.1,17876.8,13815,84804.6,28.7,2104.42,5064.54,63305.3,95.88,5598.9,8.4,14115.4,0.385948
28560,14647,127788,15325,9651,104066,70.52,3150.18,7478.13,73908.4,75.2,7379.1,672.56,67706.4,0.388128
35646.8,23582,99064.9,15029.8,11335,86898.2,20.5,1543.7,3529.44,60001.4,94,6128.1,42.56,54690.4,0.388128
34362.3,22490,100132,15982.6,12170,86067.1,26.24,43.86,36.12,46414.9,73.32,4496.4,37.52,63049,0.388128
41232.8,25724,105047,22342.5,16197,90402,-4.92,2765.76,7346.12,63623,96.82,3639.6,73.36,73964.9,0.390309
41346.9,26016,104156,28062,20292,90630.5,13.12,75.68,1.29,1457.61,59.22,3990.6,20.72,30861.5,0.391399
28414.4,19606,94979.4,15724.3,11874,86787,27.06,1835.67,2303.51,137239,42.3,2201.4,15087,74397.2,0.39358
38728.9,24814,102286,17073.2,12947,86422.4,13.12,1857.6,4455.66,61255.8,79.9,5427,39.2,73400.3,0.39358
25739,16346,103195,15166.7,11763,84499.4,49.2,1389.33,2920.13,68864.2,73.32,3236.4,40.88,48711.1,0.39467
55250.3,33578,107835,28146.5,19063,96763.8,21.32,3660.16,8396.18,66191.8,87.42,8099.1,3182.48,76036.1,0.39576
44769.2,27287,107524,25306,16723,99172.1,34.44,76.54,43,30301.6,138.18,8878.5,252.56,61991.7,0.39685
29302.7,19734,97313.4,15461.9,11830,85656.2,28.7,1566.92,3716.49,59261.3,59.22,3429.9,59.36,52570.5,0.397941
36024.8,24486,96419.2,14913.3,11586,84357,-6.56,1509.73,3968.9,58085.3,72.38,2932.2,-2.8,0,0.401211
33496.4,21702,101153,17648.9,13430,86123.3,23.78,1012.65,2178.81,61600.7,44.18,2425.5,22.96,35826.4,0.404482
27517,15994,112752,25159.2,18670,88314.7,14.76,2397.25,6444.41,74883.1,83.66,6476.4,38.08,45374.7,0.405572
17650.5,9078,127423,36515.4,24026,99603.5,38.54,1196.69,2962.27,70186.3,64.86,3201.3,21.84,24677.7,0.405572
17521.7,12666,90660.2,16929.7,12659,87645.6,-9.02,1254.74,3291.65,55670.1,3.76,2583.9,6.16,10351.3,0.406663
28901.6,19320,98038.1,13374.2,10540,83158.6,52.48,930.52,1820.19,64167.8,94,4872.6,235.2,67310.3,0.408843
29750.7,20580,94739.6,13772.7,10900,82808.2,23.78,1176.05,3200.49,58295.5,57.34,2707.2,19.6,32112.6,0.411024
41053.6,25962,103632,30524.5,21699,92191.1,20.5,2417.89,2769.63,123729,49.82,3558.6,22645.8,80140.3,0.411024
35816.2,24735,94895.9,11205.3,8767,83763,-10.66,1768.59,4080.7,64722.4,73.32,3495.6,39.76,52114.2,0.412114
28445.2,20879,89285.1,16523,14043,77109.7,34.44,457.52,904.29,60720.9,52.64,1635.3,30.24,36700.2,0.415385
49576.1,32810,99025.3,23980.9,17751,88536.6,28.7,2381.34,6263.81,75780.9,60.16,4243.5,21.84,26023.8,0.416475
