"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","RL1-A","RL1-H","RL1-W","RL2-A","RL2-H","RL2-W","VL1-A","VL1-H","VL1-W","YL2-A","YL2-H","YL2-W","Time"
376752,266874,100,142422,109063,95,64,54,0,-30,86,0,-6,106,0,4,98,0,128,58,0,0.11381
476589,322089,108,207217,150316,104,13,54,0,54,74,0,11,82,0,2814,1777,30,35,48,0,0.11381
419999,293196,104,196294,144428,96,73,45,0,20,88,0,51,63,0,81,86,0,101,70,0,0.116779
400049,286174,105,173013,119890,103,-39,46,0,96,92,0,83,93,0,10,72,0,26,61,0,0.118758
515885,330898,117,240546,159925,117,227,120,0,81,91,0,67,104,0,41,103,0,143,100,0,0.118758
453367,315262,112,189064,133315,112,185831,130847,101,292,328,0,256,288,0,150,257,0,39066,31232,90,0.118758
483124,292462,103,305402,206966,104,-447,0,0,-49,37,0,18,108,0,182,119,0,-115,8,0,0.118758
298156,206908,100,202611,144177,97,-16,27,0,27,81,0,-62,29,0,-24,37,0,-25,59,0,0.119748
416662,307148,100,123325,101338,93,125,87,0,27,52,0,25,49,0,10994,8356,49,-65,46,0,0.120737
365962,268541,98,147738,113340,95,78,62,0,117,96,0,-66,55,0,-84,32,0,-44,76,0,0.125686
364737,256510,96,179713,133110,97,-24,40,0,21,73,0,18,78,0,3416,2579,31,-7,56,0,0.130634
354314,236170,100,177212,126442,99,526811,369706,101,826,733,0,563,627,0,711,509,0,105648,82582,88,0.130634
472007,302489,105,310419,216893,104,-895,0,0,-13,69,0,14,78,0,4362,2886,37,-179,19,0,0.130634
451622,333580,102,124664,95413,97,-87,11,0,49,71,0,22,76,0,-40,35,0,-94,52,0,0.131624
373584,276582,97,143256,113592,95,-126,17,0,-9,38,0,38,60,0,-6,85,0,-4,66,0,0.131624
414126,288036,109,132825,97453,96,90,64,0,-36,34,0,-42,70,0,33,88,0,-59,41,0,0.132613
303563,235628,94,137228,108435,91,120889,93132,92,348,305,0,161,183,0,137,140,0,39386,32162,80,0.134592
492131,332770,102,221084,152376,104,-498,0,0,57,84,0,13,70,0,-20,46,0,-112,32,0,0.134592
239598,168349,94,187325,123743,95,-116,37,0,83,92,0,-18,73,0,115,90,0,-126,22,0,0.135582
