"FSC-A","FSC-H","FSC-W","SSC-A","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
61974.5,38035,106785,26648.2,177.24,139.86,27.3,30.69,148.5,3657.41,0.348925
31789.1,14524,143441,51151,213.36,115.92,49.98,6.51,360,361.67,0.34966
33541.9,24848,88466,34844,120.96,148.26,35.7,15.81,153,739.86,0.352969
86719.5,57756,98401,41246.5,447.72,390.6,455.7,49.29,173.7,16947.2,0.354072
35857.5,23653,99351.3,23755.2,153.72,109.2,62.16,14.88,76.5,4253.31,0.35444
52861.2,34443,100581,18564.8,116.76,60.48,116.76,27.9,118.8,1634.89,0.354808
114408,68570,109346,45941.3,2829.96,1456.98,1729.98,98.58,279.9,73611.9,0.356278
29472.8,21065,91693.8,37624.4,93.24,106.68,74.34,12.09,98.1,193.52,0.356646
46648.7,30934,98828.8,27661.2,73.92,148.26,68.04,16.74,175.5,3220.22,0.357381
61454.4,35752,112650,34491.2,469.56,402.36,412.86,32.55,171.9,14433.8,0.357381
55727,43791,83399,62569.9,522.48,224.28,356.16,0.93,530.1,3911.7,0.357749
45619.7,30567,97809.2,37848.7,252.84,337.68,224.28,-19.53,131.4,9478.35,0.357749
33630.1,19935,110558,35805,165.48,128.52,53.76,18.6,68.4,2951.77,0.357749
32864.3,23755,90667,21397.3,915.6,598.92,678.72,40.92,94.5,23532.1,0.35922
65114,55288,77183.3,34670.2,244.44,110.46,83.58,50.22,193.5,1703.92,0.364735
73009.3,56681,84415.2,23249.5,891.24,678.3,888.3,39.06,99,32385.1,0.366206
87618.3,54800,104784,77267.4,369.6,224.7,182.28,66.96,320.4,2437.88,0.367676
90062.7,46973,125654,36893.6,2647.68,1186.08,1485.96,23.25,169.2,61622.5,0.368779
47059.6,30146,102305,41062.6,146.16,108.78,47.46,49.29,144.9,666.11,0.371353
44222.5,33765,85833.4,51263.5,293.16,96.6,90.72,36.27,207,1937.56,0.372824
77672,53711,94772.2,38671.1,595.56,196.56,190.68,82.77,519.3,6380.85,0.373192
34708.8,28033,81142.8,31379.9,112.56,40.74,71.82,1.86,135,188.8,0.373927
27146.7,22610,78685.8,21538.4,43.68,58.38,-6.3,-7.44,107.1,1331.63,0.381648
61743.5,40666,99503.8,17112.5,451.08,201.18,206.64,18.6,66.6,9169.78,0.382751
40860.4,32336,82812.6,13126.7,63,48.72,77.28,6.51,49.5,1395.35,0.389002
121757,61992,128718,49511.3,2401.56,874.44,1179.36,79.05,153.9,40924.8,0.390105
53320.4,33348,104786,20554.8,444.36,336.42,480.48,-23.25,115.2,12812.4,0.397091
57583.4,43373,87007.7,70842.2,414.12,231.84,455.28,15.81,270.9,2328.73,0.403341
45157,28630,103367,39292.7,118.44,88.62,98.7,39.06,101.7,2158.22,0.403341
46165,34651,87312.6,17861.8,364.56,183.96,243.6,28.83,142.2,8752.65,0.403709
51690.8,31379,107958,34993.6,466.2,582.96,874.02,31.62,126.9,31681.2,0.409224
30319.1,23179,85723.8,21625.8,75.6,65.1,-4.62,-0.93,106.2,1614.83,0.410695
32491.2,25565,83291.4,41252.4,105,97.02,43.26,28.83,112.5,965.24,0.412901
26491.5,16959,102373,22993.3,120.12,74.34,113.4,21.39,70.2,2484.49,0.413268
122644,75964,105808,82722.4,603.96,675.36,682.5,49.29,269.1,30349.6,0.414004
59838.1,36355,107868,48928.3,168.84,134.4,54.18,12.09,110.7,1374.11,0.414004
90960.1,50875,117173,53773.4,1217.16,1530.48,1896.3,9.3,231.3,57599.9,0.414371
37463.3,21421,114616,38687.9,161.28,217.56,186.48,29.76,91.8,5603.23,0.414371
82821.2,45412,119523,44410.8,4576.32,1790.46,1965.6,71.61,280.8,75541.2,0.415842
34477.1,17442,129543,44279.8,739.2,616.98,618.24,5.58,106.2,26207.8,0.424666
38691.1,28591,88687.3,22624.6,387.24,135.66,151.2,26.04,104.4,7218.65,0.425769
65107.7,37251,114545,45399.5,508.2,425.46,636.3,38.13,257.4,15713.5,0.425769
81771.2,58898,90987.1,20571.6,431.76,444.36,480.48,51.15,116.1,19044,0.426505
27355.3,17934,99964.1,31242.1,131.04,118.86,91.56,43.71,72,3548.85,0.426505
62135.5,39362,103453,41808.5,510.72,390.6,351.12,48.36,211.5,12900.9,0.426872
35255.5,26266,87965.6,22505.3,598.92,511.14,511.98,39.06,42.3,23126.8,0.426872
55490.4,42803,84961.8,41099.5,165.48,123.48,2.94,24.18,185.4,3268.01,0.426872
27832,22191,82195.4,32998.6,238.56,127.68,121.38,29.76,140.4,503.86,0.427975
75663,36643,135323,52991.4,6411.72,3270.96,3260.46,98.58,318.6,127080,0.427975
85915.9,50261,112027,48703.2,367.92,265.86,250.32,102.3,225.9,10161.6,0.427975
61491.5,53097,75897.1,27972.8,101.64,88.2,28.56,42.78,135,1664.39,0.428343
37366,30057,81472.5,30337.4,852.6,1179.36,1349.04,20.46,342,49527.5,0.429446
41996.5,34004,80940,35284.2,261.24,172.2,136.08,68.82,284.4,4282.22,0.430181
66415.3,43065,101070,46298.3,136.08,162.96,65.94,64.17,127.8,3637.94,0.430181
127531,72478,115316,110558,3059.28,1522.08,1711.92,109.74,478.8,67614.6,0.430181
62953.8,36254,113801,77234.6,386.4,331.8,291.06,55.8,550.8,4684.6,0.430549
85803.9,55801,100773,37726.1,247.8,241.92,162.54,65.1,135.9,8329.03,0.430917
100572,68471,96261.5,54269,1776.6,590.94,735.84,79.98,257.4,27591.9,0.431284
31463.6,17242,119592,47234,67.2,109.2,86.52,17.67,76.5,476.13,0.434226
27829.2,21232,85899.3,25804.8,313.32,82.74,147.42,51.15,338.4,597.08,0.437903
47548.9,37302,83538.8,35164.9,155.4,82.32,26.88,9.3,132.3,441.91,0.444889
71526.7,46195,101474,33684,328.44,207.06,99.54,-18.6,138.6,8097.75,0.44783
101843,56914,117271,51339.1,1626.24,1333.92,1687.56,45.57,135.9,62197.8,0.448565
45409.7,35124,84727.5,53641.6,588,202.02,287.7,43.71,608.4,1716.9,0.462537
60601.1,38277,103758,28486.9,449.4,234.78,397.74,39.06,217.8,10603.5,0.466949
35426.3,26622,87209.8,29569.7,136.92,41.58,91.56,-5.58,274.5,284.97,0.467317
42560.7,28009,99584.4,22471.7,127.68,64.26,95.76,16.74,159.3,306.21,0.469523
33590.2,22768,96686.9,32436.6,72.24,143.64,42.42,20.46,81.9,803.58,0.470626
86648.1,61629,92141.2,31025.4,3853.08,1812.3,2393.58,13.02,108,95702.1,0.481288
32307.8,21097,100361,16564.8,97.44,71.82,68.88,0.93,25.2,3434.98,0.486436
63116.2,48244,85738.8,16964.6,232.68,243.18,281.4,12.09,51.3,10438.9,0.48901
72445.1,41226,115164,51342.5,314.16,289.38,346.92,41.85,141.3,10802.3,0.489377
75103.7,48981,100488,41021.4,149.52,179.76,89.46,23.25,141.3,3920.55,0.491216
38703.7,31481,80572,39792.5,219.24,140.7,167.16,12.09,191.7,595.31,0.493422
103591,65496,103654,30256.8,137.76,123.9,123.48,1.86,112.5,4174.84,0.493789
29196.3,21580,88665.8,17095.7,269.64,219.66,223.86,61.38,152.1,7677.67,0.495628
69457.5,45149,100821,34147.7,2163.84,1059.24,1200.78,109.74,417.6,50070.3,0.495628
78066.8,40303,126943,75830.2,854.28,506.1,517.86,123.69,459,15970.1,0.495628
40098.8,24211,108542,27148.8,294.84,151.62,143.22,53.94,162,6161.96,0.505187
58912.7,52681,73288.3,22955.5,128.52,204.54,275.52,9.3,81,9308.43,0.50629
27241.2,20357,87698.5,14296.8,210.84,122.22,133.98,-9.3,33.3,5502.93,0.507393
26849.9,21225,82903.9,18524.5,113.4,118.86,97.02,-14.88,75.6,4381.93,0.509967
65410.1,41209,104024,32562.6,135.24,55.02,2.94,27.9,79.2,433.65,0.51107
66189.9,40594,106859,39008.8,89.04,128.52,157.92,25.11,49.5,3673.93,0.51107
35511.7,23750,97991.4,50031.2,273,97.02,85.68,15.81,234,374.65,0.512173
31302.6,21661,94706.9,41628.7,139.44,157.5,163.8,21.39,123.3,4581.35,0.512541
49237.3,37806,85352,16785.7,93.24,84,49.56,28.83,108.9,3013.13,0.512541
94133.9,50831,121366,49830.5,4114.32,1596.42,1735.44,114.39,470.7,64339.5,0.512909
50358.7,25963,127116,64154.2,442.68,155.4,115.5,26.97,322.2,1541.08,0.513276
57699.6,39993,94551.6,23035.3,139.44,113.4,133.98,20.46,94.5,3352.38,0.513276
90618.5,62105,95624.7,37546.3,2203.32,1273.44,1262.1,37.2,134.1,61092.1,0.513644
57474.9,42594,88432.1,48487.3,409.92,127.68,79.8,37.2,360,587.64,0.514012
48763.4,29998,106532,45523,194.04,219.24,228.06,35.34,130.5,7222.78,0.514379
52154.2,29662,115231,35130.5,217.56,294,329.7,63.24,166.5,10784.6,0.514379
29327.2,17503,109809,34311.5,1764.84,937.86,1119.3,27.9,78.3,46838.3,0.514747
39233.6,24811,103632,35310.2,240.24,144.48,49.14,13.02,215.1,2226.07,0.515115
83668.2,52335,104773,48661.2,1328.88,936.18,1226.82,26.04,114.3,49457.3,0.515482
32972.1,25000,86434.4,23856.8,105.84,100.38,82.32,13.02,131.4,453.71,0.518791
32446.4,30263,70264.3,25030.3,63.84,53.76,36.96,-8.37,49.5,942.82,0.52063
38788.4,31114,81700.7,22302.8,624.96,452.34,537.6,41.85,147.6,17481.1,0.521365
34384.7,20066,112301,25725.8,138.6,83.16,95.34,11.16,180,1287.38,0.523571
119294,68194,114644,61527.5,1729.56,1236.9,1554.42,26.97,221.4,63617.9,0.523939
45286.5,28885,102749,30305.5,288.12,330.12,329.28,17.67,126,14302.8,0.52541
109812,64055,112351,70238.3,1366.68,849.24,1301.58,9.3,268.2,42560.2,0.525777
32167.8,25390,83030.7,20687.5,267.96,84.84,69.3,33.48,169.2,256.06,0.527248
51989,36400,93603.1,31874.6,1187.76,905.1,839.16,-10.23,109.8,33099,0.532395
60684.4,39765,100013,27693.1,166.32,135.24,86.52,9.3,170.1,5119.43,0.539749
136543,73553,121661,85632.1,2244.48,1372.98,1771.14,146.01,383.4,64735.4,0.540852
27794.9,21191,85959.4,25318.4,165.48,101.22,149.52,0.93,80.1,5789.67,0.54269
